REGION;COUNTRY;REPORTYEAR;POPULATION;TOTAL Actual DD;Actual DBD;Actual DCD;Total Utilized DD;Utilized DBD;Utilized DCD;DD Kidney Tx;LD Kidney Tx;TOTAL Kidney Tx;DD Liver Tx;DOMINO Liver Tx;LD Liver Tx;TOTAL Liver TX;Total Heart TX;DD Lung Tx;LD Lung Tx;TOTAL Lung Tx;Pancreas Tx;Kidney Pancreas Tx;Small Bowel Tx
Europe;Austria;2020;9;213;188;25;188;173;15;291;44;335;150;0;8;158;59;100;0;100;20;17;0
Europe;Belgium;2020;11,6;249;144;105;245;142;103;326;37;363;214;0;21;235;54;93;0;93;9;7;2
Europe;Bulgaria;2020;6,9;4;4;0;4;4;0;2;6;8;2;0;5;7;1;0;0;0;0;0;0
Europe;Croatia;2020;4,1;104;104;0;97;97;0;95;3;98;94;0;1;95;25;0;0;0;1;1;0
Europe;Denmark;2020;5,8;124;124;0;121;121;0;200;78;278;63;0;3;66;33;29;0;29;7;7;0
Europe;Estonia;2020;1,3;33;33;0;33;33;0;43;4;47;12;0;0;12;;0;0;0;6;5;
Europe;Finland;2020;5,5;126;126;0;121;121;0;232;31;263;75;0;0;75;22;21;0;21;26;25;1
Europe;Germany;2020;83,8;913;913;0;887;887;0;1459;450;1909;774;0;52;826;339;344;0;344;92;80;8
Europe;Hungary;2020;9,7;111;111;0;108;108;0;172;30;202;50;0;0;50;45;17;0;17;6;6;0
Europe;Latvia;2020;1,9;21;21;0;20;20;0;38;3;41;2;0;0;2;2;0;0;0;0;0;0
Europe;Lithuania;2020;2,7;49;45;4;49;45;4;79;3;82;14;0;0;14;10;1;0;1;;;
Europe;Luxembourg;2020;0,6;3;3;0;3;3;0;;;;;;;;;;;;;;
Europe;Malta;2020;0,4;2;2;0;2;2;0;4;0;4;1;0;0;1;0;1;0;1;0;0;0
Europe;Netherlands;2020;17,1;255;100;155;251;100;151;442;367;809;162;;24;186;41;87;0;87;29;21;0
Europe;Slovenia;2020;2,1;47;47;0;39;39;0;46;1;47;25;0;0;25;24;16;0;16;2;2;0
Europe;Sweden;2020;10,1;181;170;11;174;163;11;313;116;429;171;1;0;172;54;51;0;51;13;10;0
Europe;United Kingdom;2020;67,9;1248;814;434;1180;780;400;2009;558;2567;801;0;22;823;179;99;0;99;116;97;17
Europe;Spain;2020;46,8;1777;1156;621;1581;1035;546;2443;259;2702;1023;0;11;1034;278;336;0;336;73;63;4
Europe;Armenia;2020;3;0;0;0;0;0;0;0;10;10;0;0;1;1;0;0;0;0;0;0;0
Europe;Georgia;2020;4;0;0;0;0;0;0;0;17;17;0;0;10;10;0;0;0;0;0;0;0
Europe;Iceland;2020;0,3;4;4;0;4;4;0;3;7;10;0;0;0;0;0;0;0;0;0;0;0
Europe;Israel;2020;8,7;92;83;9;89;82;7;124;273;397;72;0;13;85;20;34;;34;4;4;
Europe;Republic of North Macedonia;2020;2,1;2;2;0;2;2;0;4;8;12;0;0;0;0;1;0;0;0;0;0;0
Europe;Norway;2020;5,4;102;102;0;101;101;0;181;59;240;88;0;0;88;30;28;0;28;6;5;
America;United States of America;2020;331;12588;9364;3224;11578;8896;2682;18410;5234;23644;8415;5;486;8906;3716;2597;0;2597;962;827;91
America;Costa Rica;2020;5,1;27;27;0;26;26;0;33;8;41;14;0;1;15;2;3;0;3;0;0;0
America;Dominican Republic;2020;10,8;4;4;0;4;4;0;8;20;28;1;0;0;1;0;0;0;0;1;1;0
America;Paraguay;2020;7,1;6;6;0;6;6;0;1;3;4;0;0;0;0;5;0;0;0;0;0;0
Europe;Belarus;2020;9,4;201;201;0;192;192;0;315;1;316;79;0;7;86;53;10;0;10;2;2;0
Europe;Ukraine;2020;43,7;11;11;0;11;11;0;20;79;99;4;0;17;21;10;0;0;0;1;1;0
Europe;Italy;2020;60,5;1303;1240;63;1235;1182;53;1623;284;1907;1182;1;19;1202;238;115;0;115;41;33;0
Europe;Poland;2020;37,8;393;393;0;387;387;0;720;31;751;263;0;28;291;145;51;0;51;4;3;0
Europe;Portugal;2020;10,2;253;242;11;236;226;10;353;41;394;189;3;1;193;33;33;;33;27;27;0
Europe;Republic of Moldova;2020;4;2;2;0;1;1;0;2;1;3;1;0;1;2;0;;;;;;
America;Argentina;2020;45,2;444;444;0;413;413;0;724;130;854;286;0;30;316;94;21;0;21;48;45;1
America;Panama;2020;4,3;3;3;0;3;3;0;6;7;13;3;0;0;3;0;0;0;0;0;0;0
America;Uruguay;2020;3,5;63;63;0;63;63;0;112;8;120;27;0;1;28;11;4;0;4;0;0;0
Europe;Czech Republic;2020;10,7;249;241;8;226;220;6;415;28;443;172;0;0;172;72;35;0;35;37;31;1
America;Mexico;2020;128,9;152;152;0;150;150;0;283;630;913;62;0;10;72;9;4;0;0;0;0;0
Europe;France;2020;65,3;1512;1355;157;1474;1322;152;2205;390;2595;1112;1;15;1128;378;291;0;291;34;30;3
